label,class_0,class_1,class_2,class_3,class_4,class_5
3,1.8067858320591768e-08,5.148281090328055e-08,1.4670584747022986e-08,0.9984265565872192,0.0015733697218820453,3.309032337028839e-08
5,0.00010928366828011349,0.004278737120330334,1.854983565863222e-05,0.0010731096845120192,1.3200599823903758e-05,0.9945070147514343
0,0.9994714856147766,0.0004476877220440656,6.187343615238206e-07,4.697089934779797e-06,4.603991143881103e-08,7.560019730590284e-05
1,5.107050583319506e-06,0.9879335761070251,4.520389120443724e-05,0.011794148944318295,1.2640313798328862e-05,0.0002092245122184977
2,1.998953848669771e-06,1.4475713214778807e-06,0.9998226761817932,5.0726575864246115e-06,1.3305817446962465e-05,0.00015560239262413234
3,5.1487550081219524e-05,8.300501212943345e-05,0.0009752294863574207,0.9952560067176819,0.0019275093218311667,0.0017067230073735118
4,0.0013295002281665802,7.737950909358915e-06,7.635354450030718e-06,0.023047607392072678,0.9755812883377075,2.6100524337380193e-05
0,0.9999973773956299,9.132619993579283e-07,3.615489463371091e-09,8.784370564285382e-09,5.419604001688505e-11,1.6882253248695633e-06
4,8.985794920590706e-06,4.379169808998995e-07,1.8062388562611886e-07,0.07079975306987762,0.9291903972625732,2.391800819623313e-07
5,9.63682214205619e-06,0.00015762465773150325,3.496013596304692e-05,3.335582368890755e-05,4.0671670475944666e-09,0.9997643828392029
0,1.0,6.128048624098881e-10,3.092258449299834e-09,2.1787982529275496e-09,1.4335191020342641e-11,3.956401872784454e-09
4,0.00020053570915479213,4.580796030495549e-06,1.2362888810457662e-05,0.007700581569224596,0.9920802712440491,1.5612954484822694e-06
1,1.4758994382191304e-07,0.9998973608016968,2.4114108327921713e-06,2.381715148658259e-06,2.424767444608733e-06,9.526692883810028e-05
3,1.9203133305722986e-08,1.4803806180907486e-08,1.8595362405449123e-07,0.9984732270240784,0.0015265729743987322,2.3601927523486665e-08
5,5.119620709592709e-07,4.96338980155997e-05,5.410608991951449e-06,6.21396247879602e-06,2.5590491077309707e-06,0.9999357461929321
3,9.447353477298748e-08,1.8824967185082642e-07,8.985168875597083e-08,0.9997900128364563,0.00020942059927619994,1.8318698380426213e-07
4,0.0006643894012086093,2.6323450583731756e-05,2.225639946118463e-05,0.0838019996881485,0.9154167175292969,6.833645602455363e-05
5,9.719061111468363e-09,5.912601963586894e-08,1.9053167377158786e-10,2.9760995889915876e-09,5.734188731482126e-12,1.0
5,0.00045108154881745577,0.6417459845542908,5.15349995566794e-07,6.623570516239852e-05,4.3093507429148303e-08,0.35773611068725586
2,0.00011516003723954782,2.8731435577356024e-06,0.9767189025878906,1.1926147635676898e-05,0.023149313405156136,1.830441419770068e-06
4,3.767115413211286e-05,7.11279142251442e-08,1.3332739854376996e-06,0.0006052374956198037,0.9993556141853333,8.133792306352916e-08
4,2.7079906431026757e-05,3.128948810626753e-05,3.056594869121909e-05,0.9849831461906433,0.014901401475071907,2.6525582143221982e-05
2,0.00043580797500908375,3.202910738764331e-05,0.97945636510849,0.01024711225181818,0.008151432499289513,0.0016772637609392405
2,0.00013065141683910042,2.405114173598122e-05,0.9933542013168335,0.0009847020264714956,0.005488441325724125,1.7972683053812943e-05
5,1.0715974774200276e-08,9.348824096377939e-05,2.488002053269156e-07,5.83745602966701e-08,3.707145523890176e-08,0.9999063014984131
0,0.9999970197677612,2.405977056696429e-06,5.027592564488259e-08,2.210438907468415e-07,2.2781381225911446e-09,3.389573919321265e-07
5,5.1362139856792055e-06,0.0015655339229851961,4.138402800890617e-06,0.0001381333713652566,1.906239504023688e-07,0.998286783695221
5,2.266485898871906e-05,0.0007687484612688422,2.812595084833447e-06,9.386594319948927e-05,1.022408832795918e-05,0.9991016387939453
0,0.9982840418815613,0.0015668723499402404,5.707879040528496e-07,1.591614454810042e-05,1.442607278079322e-08,0.00013254217628855258
0,0.9999991655349731,2.387512552104454e-07,8.529670303403236e-10,1.797375226431086e-08,1.273146033042849e-10,6.31148168395157e-07
4,0.00039692004793323576,0.0001995640341192484,0.003086470765992999,0.4317960739135742,0.5642528533935547,0.0002681288169696927
2,0.00622209720313549,0.0002365886466577649,0.7420570850372314,0.2254350781440735,0.02560797706246376,0.0004411563859321177
5,3.350939437041234e-08,0.9655991792678833,1.1661818177799432e-08,9.315887155025848e-07,2.543529120657695e-08,0.034399762749671936
5,0.000127087565488182,0.00023598493135068566,0.00028777035186067224,0.02441210299730301,5.7038258091779426e-05,0.9748799204826355
5,3.111195474048145e-05,0.7281685471534729,5.747632894781418e-05,0.00013961747754365206,4.624290795618435e-06,0.2715986967086792
3,3.1956457036130814e-08,7.563899089291226e-07,6.19426572256998e-08,0.9991082549095154,0.0008894073544070125,1.4611115375373629e-06
0,0.9999570846557617,5.33484080733615e-06,5.026078397918354e-08,1.0986221923303674e-06,2.965998557868943e-09,3.6538571293931454e-05
3,6.604526788578369e-06,5.974188752588816e-05,1.516289557912387e-06,0.9971393346786499,0.0027527131605893373,4.013972284155898e-05
