label,class_0,class_1,class_2,class_3,class_4,class_5
3,6.005598606861895e-06,0.0010347514180466533,0.0001006416860036552,0.9495924711227417,0.04921580106019974,5.0304697651881725e-05
5,0.10704853385686874,0.062206968665122986,0.0007130178855732083,0.003879543859511614,0.0016960890498012304,0.8244557976722717
0,0.44763198494911194,0.3652896285057068,0.018884142860770226,0.026739761233329773,0.00943256076425314,0.132021963596344
1,5.2512699767248705e-05,0.9793969392776489,0.003449402516707778,0.004295942839235067,0.00044414395233616233,0.012361116707324982
2,9.38698067329824e-05,0.0006217197515070438,0.9166333079338074,0.07078351080417633,0.0037547315005213022,0.008112811483442783
3,0.00014888735313434154,0.0022912954445928335,0.0015624830266460776,0.9547693133354187,0.036353304982185364,0.004874789156019688
4,0.006787681486457586,0.0002805147669278085,0.009145485237240791,0.059501055628061295,0.9215053915977478,0.002779958304017782
0,0.9994910955429077,5.7184937759302557e-05,9.705056072562002e-06,0.00021886444301344454,6.082679465180263e-05,0.00016233709175139666
4,0.004013520665466785,0.00014555684174411,0.0020213897805660963,0.015314878895878792,0.9784553647041321,4.936262121191248e-05
5,0.00039297150215134025,0.03735595941543579,0.0036809826269745827,0.005269121844321489,1.0634075806592591e-05,0.9532903432846069
0,0.9995160102844238,0.00034290013718418777,2.7495937615640287e-07,3.5735218261834234e-05,1.8025615418082452e-06,0.00010333872342016548
4,0.0011027571745216846,3.771761475945823e-05,0.0005276246811263263,0.013087107799947262,0.9852380156517029,6.811632829339942e-06
1,0.00024407832825090736,0.8331080079078674,0.059676844626665115,0.006567525677382946,0.016187461093068123,0.08421608060598373
3,2.8973008738830686e-06,6.835554086137563e-05,5.9670190239557996e-05,0.9429143071174622,0.056950636208057404,4.182350949122338e-06
5,0.002708434360101819,0.18946422636508942,0.0003157658502459526,0.0007390535902231932,7.580787496408448e-05,0.8066967725753784
3,6.8027788984181825e-06,0.00019592301396187395,0.000541716581210494,0.9499017596244812,0.049347348511219025,6.47263777864282e-06
4,0.003159868996590376,0.00038617526297457516,0.0020084704738110304,0.05037391185760498,0.943982720375061,8.89043731149286e-05
5,0.0006071453681215644,0.01206187903881073,0.0005385117256082594,0.001042675692588091,4.64641852886416e-05,0.9857034087181091
5,0.1380833387374878,0.4162136912345886,1.0163996194023639e-05,0.0008065142319537699,1.2893272469227668e-05,0.4448733329772949
2,0.00775384996086359,0.0006860373541712761,0.9088228940963745,0.02233404479920864,0.06015840917825699,0.00024477168335579336
4,0.003926695790141821,5.495651566889137e-05,0.0031055198051035404,0.011279894039034843,0.9814292788505554,0.00020362039504107088
4,8.602825255366042e-05,0.0046240403316915035,0.0005268088425509632,0.7452130317687988,0.24806024134159088,0.0014898524386808276
2,0.0007268394692800939,0.0005205838824622333,0.8168701529502869,0.0325893871486187,0.03386003524065018,0.11543294042348862
2,1.959738801815547e-05,0.00012319264351390302,0.9631888270378113,0.033689890056848526,0.002896226244047284,8.216541027650237e-05
5,3.450668737059459e-05,0.2270209938287735,0.000740320363547653,6.1764832935296e-05,8.305411938636098e-06,0.7721341252326965
0,0.9999598264694214,1.7917650438903365e-06,3.891120172738738e-07,9.532782314636279e-06,2.6220241124974564e-05,2.2514955162478145e-06
5,0.003972497768700123,0.01861918531358242,0.00013923099322710186,0.0010827226797118783,0.00016410018724855036,0.9760223031044006
5,0.00041410003905184567,0.01947939023375511,0.003058430040255189,0.001217506593093276,0.0011139607522636652,0.9747166037559509
0,0.9515366554260254,0.030290786176919937,1.5080267075973097e-05,0.0010642536217346787,3.225489126634784e-05,0.017061013728380203
0,0.9999802112579346,8.682709449203685e-07,6.856601686422437e-08,3.32157014781842e-06,9.484262591286097e-06,5.8964033087249845e-06
4,0.0032511705067008734,0.0166234839707613,0.31484368443489075,0.053754810243844986,0.6002458333969116,0.011281054466962814
2,0.005213517230004072,0.0015072732931002975,0.43774208426475525,0.3203025460243225,0.2295963019132614,0.005638342350721359
5,6.059294719307218e-06,0.8287546634674072,0.0001752312819007784,0.0002369010035181418,0.0002725858648773283,0.1705545336008072
5,0.002555846469476819,0.006767967715859413,0.0753084048628807,0.15754222869873047,0.04662668704986572,0.7111988663673401
5,0.0002656731812749058,0.12869223952293396,0.00018479216669220477,0.001553243724629283,0.0016297054244205356,0.8676742911338806
3,0.0009200516506098211,0.0002577400882728398,0.0029764107894152403,0.9035440683364868,0.08606340736150742,0.006238271947950125
0,0.9656360745429993,0.004895444493740797,4.967284621670842e-05,0.0012248653220012784,0.0002883263514377177,0.02790554240345955
3,0.0025402645114809275,0.006405823398381472,0.006804171949625015,0.6875795722007751,0.2960265576839447,0.0006436659605242312
